city_ids,Number_of_session
6497,144528
6433,115305
6918,58932
6640,54916
6326,47357
6220,41357
6969,12542
6985,11277
6857,11165
6931,10374
6288,7921
6814,7446
6956,7232
6800,7194
6672,6734
6984,6538
6541,6511
6926,6226
6864,5163
6745,4484
6861,3629
6264,3563
6785,3561
6782,3253
6816,3021
6684,2861
6870,2780
6801,2720
6713,2689
6341,2424
6865,2400
6668,2278
6557,2256
6390,1928
6839,1909
6987,1859
6986,1635
6447,1512
6858,1484
6208,1430
6566,1350
6873,1266
6760,1225
6595,1152
6875,1106
6604,1046
6906,1041
6819,934
6842,925
6815,886
6570,874
6681,830
6834,692
6549,680
6862,666
6805,655
6876,651
6871,650
6349,639
6503,631
7307,623
6980,621
7003,592
7015,581
6930,565
6719,556
6269,551
6209,532
6352,525
6683,511
7019,502
6262,478
6289,478
6469,471
7002,451
6303,446
7001,422
6997,393
6908,372
7080,370
6234,317
6817,305
6260,297
7349,291
6567,290
7121,280
7116,279
6363,234
7313,214
7303,212
6321,202
6319,196
7192,177
6711,175
6548,174
7083,173
7022,163
7115,161
6545,156
6216,155
6723,154
6998,154
7309,151
7079,131
6967,125
6452,119
6841,118
7262,118
6565,110
6225,108
6996,108
7000,106
6535,105
7117,104
6965,102
7335,102
6460,100
6224,99
7329,94
7257,89
7394,89
6988,88
7323,86
7155,85
7108,83
7326,82
6653,80
7327,78
6995,77
7014,77
7113,77
7312,68
6642,64
7255,57
6237,52
7156,48
6641,47
7367,47
7422,45
7318,44
7344,42
6336,41
7159,39
6646,37
6927,37
7334,37
7428,36
7398,34
6971,33
7427,29
7299,26
7322,19
7384,19
7106,18
7264,18
7308,18
7342,14
7020,11
7377,10
7310,9
7316,9
7306,8
7423,8
7426,7
7084,4
7105,4
7110,4
7365,4
6670,3
7081,3
7107,3
7109,3
7321,3
7343,3
7352,3
6360,2
7254,2
7298,2
7324,2
7347,2
7424,2
23,1
237,1
6177,1
6218,1
6315,1
6323,1
6632,1
6644,1
6743,1
6767,1
6860,1
6994,1
6999,1
7018,1
7077,1
7112,1
7114,1
7256,1
7259,1
7263,1
7330,1
7336,1
7345,1
7346,1
7355,1
7357,1
7372,1
7378,1
7380,1
7425,1
